login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
tiangolo,tiangolo/a2wsgi,2024-01-07T20:24:07Z,10,10,,True,True,Apache License 2.0
tiangolo,tiangolo/alembic,2020-05-22T09:50:31Z,5,5,,True,True,MIT License
tiangolo,tiangolo/anaconda_cluster_install,2015-03-11T14:58:44Z,5,5,Shell,True,True,None
tiangolo,tiangolo/angular-docker-multi-stage-example,2017-10-02T18:43:28Z,15,15,,True,True,None
tiangolo,tiangolo/annotated-types,2023-08-27T14:32:00Z,8,8,,True,False,MIT License
tiangolo,tiangolo/ansible-babun-bootstrap,2015-07-14T11:17:13Z,61,61,Shell,True,True,None
tiangolo,tiangolo/anyio,2021-10-27T09:36:07Z,4,4,,True,True,MIT License
tiangolo,tiangolo/asgiref,2023-03-06T11:29:47Z,0,0,,True,False,"BSD 3-Clause ""New"" or ""Revised"" License"
tiangolo,tiangolo/babun-docker,2015-09-24T18:21:01Z,170,170,Shell,True,True,MIT License
tiangolo,tiangolo/bitbucket_issues_to_redmine_csv,2015-02-03T21:15:17Z,3,3,Python,True,True,None
tiangolo,tiangolo/blog-posts,2018-06-24T13:32:36Z,273,273,Python,True,True,None
tiangolo,tiangolo/bump-pydantic,2024-04-18T05:49:21Z,9,9,,True,False,MIT License
tiangolo,tiangolo/click,2020-03-15T06:20:49Z,3,3,,True,False,"BSD 3-Clause ""New"" or ""Revised"" License"
tiangolo,tiangolo/compose-to-rancher,2016-08-23T19:12:20Z,10,10,Python,True,True,MIT License
tiangolo,tiangolo/docker-auto-labels,2018-05-01T15:13:31Z,15,15,Python,True,True,MIT License
tiangolo,tiangolo/docker-registry-proxy,2019-08-03T21:45:30Z,41,41,Shell,True,True,Apache License 2.0
tiangolo,tiangolo/docker-with-compose,2018-01-31T12:45:39Z,157,157,Shell,True,True,MIT License
tiangolo,tiangolo/dockerswarm.rocks,2019-01-17T13:17:52Z,1094,1094,Python,True,True,None
tiangolo,tiangolo/flask-frontend-docker,2018-12-29T16:04:06Z,130,130,Vue,True,True,MIT License
tiangolo,tiangolo/full-stack,2018-02-28T13:34:09Z,523,523,Python,True,True,MIT License
tiangolo,tiangolo/full-stack-fastapi-couchbase,2018-12-11T07:53:25Z,441,441,Python,True,True,MIT License
tiangolo,tiangolo/full-stack-flask-couchbase,2018-10-22T13:31:32Z,59,59,Python,True,True,MIT License
tiangolo,tiangolo/full-stack-flask-couchdb,2018-09-28T11:02:01Z,31,31,Python,True,True,MIT License
tiangolo,tiangolo/fullstackpython.com,2018-12-22T15:33:43Z,4,4,HTML,True,True,MIT License
tiangolo,tiangolo/github-actions-sandbox,2020-10-04T07:39:08Z,16,16,Python,True,True,Do What The F*ck You Want To Public License
tiangolo,tiangolo/griffe-typingdoc,2023-09-10T20:40:26Z,2,2,,True,True,ISC License
tiangolo,tiangolo/haystack,2022-01-19T00:20:50Z,15,15,Python,True,True,Apache License 2.0
tiangolo,tiangolo/issue-manager,2019-10-20T16:46:29Z,62,62,Python,True,True,MIT License
tiangolo,tiangolo/label-approved,2020-10-11T05:36:41Z,34,34,Python,True,True,MIT License
tiangolo,tiangolo/latest-changes,2020-10-03T07:23:10Z,174,174,Python,True,True,MIT License
tiangolo,tiangolo/LibCST,2024-04-17T13:42:48Z,4,4,,True,False,Other
tiangolo,tiangolo/markdown,2024-09-29T17:21:16Z,0,0,,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
tiangolo,tiangolo/markdown-include-variants,2024-10-07T17:53:10Z,9,9,Python,False,False,MIT License
tiangolo,tiangolo/meinheld-gunicorn-docker,2019-01-12T12:04:38Z,165,165,Python,True,True,MIT License
tiangolo,tiangolo/meinheld-gunicorn-flask-docker,2019-01-12T13:41:39Z,485,485,Python,True,True,MIT License
tiangolo,tiangolo/memray,2024-02-17T20:37:33Z,10,10,,True,False,Apache License 2.0
tiangolo,tiangolo/nginx-rtmp-docker,2016-08-30T22:30:06Z,1118,1118,Dockerfile,True,True,MIT License
tiangolo,tiangolo/ngx-http-client,2017-11-23T08:33:40Z,11,11,TypeScript,True,True,MIT License
tiangolo,tiangolo/node-frontend,2018-06-29T10:40:02Z,137,137,Dockerfile,True,True,MIT License
tiangolo,tiangolo/odmantic,2022-06-08T13:13:28Z,16,16,Python,True,False,ISC License
tiangolo,tiangolo/peps,2023-08-28T16:30:08Z,4,4,,True,False,None
tiangolo,tiangolo/poetry-version-plugin,2021-05-27T10:06:52Z,361,361,Python,True,True,MIT License
tiangolo,tiangolo/prometheus-fastapi-instrumentator,2022-05-16T17:36:34Z,13,13,,True,False,MIT License
tiangolo,tiangolo/pydantic,2018-10-21T04:21:54Z,39,39,Python,True,False,MIT License
tiangolo,tiangolo/pydantic-sqlalchemy,2020-05-02T16:44:22Z,1175,1175,Python,True,True,MIT License
tiangolo,tiangolo/PyGithub,2024-10-27T08:52:25Z,6,6,,True,False,GNU Lesser General Public License v3.0
tiangolo,tiangolo/pymdown-extensions,2024-09-12T19:04:46Z,10,10,,True,True,Other
tiangolo,tiangolo/python-devtools,2023-11-26T11:12:27Z,26,26,,True,True,MIT License
tiangolo,tiangolo/python-machine-learning-docker,2019-03-05T12:28:37Z,84,84,Dockerfile,True,True,MIT License
tiangolo,tiangolo/python-multipart,2024-01-28T18:29:09Z,11,11,,True,True,Other
tiangolo,tiangolo/ray,2022-04-30T11:20:33Z,13,13,,True,True,Apache License 2.0
tiangolo,tiangolo/rich,2022-07-04T09:27:20Z,5,5,,True,True,MIT License
tiangolo,tiangolo/rye,2023-10-05T20:17:36Z,10,10,,True,True,MIT License
tiangolo,tiangolo/sentry-python,2023-02-28T18:36:54Z,1,1,,True,False,MIT License
tiangolo,tiangolo/sqlalchemy,2020-05-22T10:00:25Z,6,6,,True,True,MIT License
tiangolo,tiangolo/sqlalchemy-stubs,2020-04-21T18:50:42Z,3,3,,True,True,Apache License 2.0
tiangolo,tiangolo/starlette,2018-12-07T05:28:30Z,14,14,Python,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
tiangolo,tiangolo/termynal,2019-12-26T20:09:47Z,6,6,,True,False,MIT License
tiangolo,tiangolo/tiangolo,2021-05-17T10:01:24Z,16,16,,True,True,None
tiangolo,tiangolo/tiangolo.com,2019-03-22T09:07:17Z,16,16,Python,True,True,None
tiangolo,tiangolo/trio,2021-06-14T07:30:13Z,4,4,,True,True,Other
tiangolo,tiangolo/typer-cli,2020-03-08T17:55:04Z,367,367,Python,True,True,MIT License
tiangolo,tiangolo/typing_extensions,2023-08-28T19:57:41Z,3,3,,True,True,Other
tiangolo,tiangolo/uv,2024-09-29T19:16:08Z,16,16,,True,False,Apache License 2.0
tiangolo,tiangolo/uvicorn,2018-12-22T14:48:56Z,12,12,Python,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
tiangolo,tiangolo/uvicorn-gunicorn-docker,2019-01-04T11:44:13Z,629,629,Python,True,True,MIT License
tiangolo,tiangolo/uvicorn-gunicorn-fastapi-docker,2019-01-04T17:33:29Z,2701,2701,Python,True,True,MIT License
tiangolo,tiangolo/uvicorn-gunicorn-machine-learning-docker,2019-03-08T19:48:37Z,67,67,Python,True,True,MIT License
tiangolo,tiangolo/uvicorn-gunicorn-starlette-docker,2019-01-04T17:32:30Z,183,183,Python,True,True,MIT License
tiangolo,tiangolo/uwsgi-nginx-docker,2016-02-14T14:33:08Z,648,648,Python,True,True,Apache License 2.0
tiangolo,tiangolo/uwsgi-nginx-flask-docker,2016-02-14T16:32:58Z,2986,2986,Python,True,True,Apache License 2.0
tiangolo,tiangolo/wrangler-action,2024-10-24T12:22:03Z,3,3,,True,True,Apache License 2.0
tiangolo,tiangolo/wunderlist2csv,2014-12-17T23:28:09Z,6,6,Python,True,True,None
schacon,schacon/3D-Me,2014-04-10T21:40:18Z,1,1,,True,True,None
schacon,schacon/aeon,2009-09-30T18:44:58Z,4,4,Python,True,True,None
schacon,schacon/agitmemnon,2009-07-30T21:28:26Z,9,9,JavaScript,True,True,MIT License
schacon,schacon/agitmemnon-server,2009-08-07T20:10:58Z,15,15,Python,True,True,GNU General Public License v2.0
